userBets,userNums,winNums,payout,matcher
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 4, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 4, 6, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 4, 2, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 1, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 9, 3, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 4, 1, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 4, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 1, 7, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 4, 3, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 1, 4, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 8, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 4, 4, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 1, 2, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 9, 5, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 4, 1, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 7, 9, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 4, 9, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 1, 5, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 2, 1, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 1, 4, 6]",250,4
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 7, 7, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 0, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 6, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 5, 2, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 3, 6, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 7, 5, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 0, 5, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 8, 3, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 3, 6, 4]",250,6
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 9, 0, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 0, 6, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 9, 9, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 8, 7, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 8, 3, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 2, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 7, 6, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 1, 7, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 7, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 6, 3, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 6, 2, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 1, 5, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 0, 5, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 8, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 4, 1, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 8, 4, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 2, 7, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 1, 5, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 6, 4, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 4, 3, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 8, 8, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 9, 5, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 1, 3, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 0, 8, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 0, 7, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 5, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 6, 3, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 2, 0, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 5, 0, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 5, 7, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 0, 6, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 0, 9, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 8, 3, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 8, 2, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 5, 1, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 2, 6, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 1, 2, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 4, 5, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 8, 8, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 1, 4, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 5, 2, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 1, 9, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 5, 3, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 8, 3, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 1, 2, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 9, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 8, 8, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 8, 9, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 7, 9, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 5, 1, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 5, 6, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 4, 1, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 2, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 3, 8, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 5, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 3, 1, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 2, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 6, 4, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 6, 8, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 1, 0, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 0, 5, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 9, 9, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 2, 7, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 6, 0, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 2, 1, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 3, 2, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 1, 3, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 1, 9, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 6, 5, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 5, 2, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 2, 9, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 5, 0, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 8, 1, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 1, 4, 6]",250,4
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 0, 0, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 0, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 4, 1, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 8, 6, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 5, 9, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 2, 2, 7]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 7, 2, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 5, 3, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 7, 0, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 4, 0, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 9, 8, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 1, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 7, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 1, 5, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 0, 0, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 5, 0, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 2, 0, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 9, 0, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 3, 2, 5]",0,0
